"","X","PassengerId","Survived","Pclass","Name","Sex","Age","SibSp","Parch","Ticket","Fare","Cabin","Embarked"
"6",6,6,0,3,"Moran, Mr. James","male",NA,0,0,"330877",8.4583,"","Q"
"18",18,18,1,2,"Williams, Mr. Charles Eugene","male",NA,0,0,"244373",13,"","S"
"20",20,20,1,3,"Masselmani, Mrs. Fatima","female",NA,0,0,"2649",7.225,"","C"
"27",27,27,0,3,"Emir, Mr. Farred Chehab","male",NA,0,0,"2631",7.225,"","C"
"29",29,29,1,3,"O'Dwyer, Miss. Ellen ""Nellie""","female",NA,0,0,"330959",7.8792,"","Q"
"30",30,30,0,3,"Todoroff, Mr. Lalio","male",NA,0,0,"349216",7.8958,"","S"
"32",32,32,1,1,"Spencer, Mrs. William Augustus (Marie Eugenie)","female",NA,1,0,"PC 17569",146.5208,"B78","C"
"33",33,33,1,3,"Glynn, Miss. Mary Agatha","female",NA,0,0,"335677",7.75,"","Q"
"37",37,37,1,3,"Mamee, Mr. Hanna","male",NA,0,0,"2677",7.2292,"","C"
"43",43,43,0,3,"Kraeff, Mr. Theodor","male",NA,0,0,"349253",7.8958,"","C"
"46",46,46,0,3,"Rogers, Mr. William John","male",NA,0,0,"S.C./A.4. 23567",8.05,"","S"
"47",47,47,0,3,"Lennon, Mr. Denis","male",NA,1,0,"370371",15.5,"","Q"
"48",48,48,1,3,"O'Driscoll, Miss. Bridget","female",NA,0,0,"14311",7.75,"","Q"
"49",49,49,0,3,"Samaan, Mr. Youssef","male",NA,2,0,"2662",21.6792,"","C"
"56",56,56,1,1,"Woolner, Mr. Hugh","male",NA,0,0,"19947",35.5,"C52","S"
"65",65,65,0,1,"Stewart, Mr. Albert A","male",NA,0,0,"PC 17605",27.7208,"","C"
"66",66,66,1,3,"Moubarek, Master. Gerios","male",NA,1,1,"2661",15.2458,"","C"
"77",77,77,0,3,"Staneff, Mr. Ivan","male",NA,0,0,"349208",7.8958,"","S"
"78",78,78,0,3,"Moutal, Mr. Rahamin Haim","male",NA,0,0,"374746",8.05,"","S"
"83",83,83,1,3,"McDermott, Miss. Brigdet Delia","female",NA,0,0,"330932",7.7875,"","Q"
"88",88,88,0,3,"Slocovski, Mr. Selman Francis","male",NA,0,0,"SOTON/OQ 392086",8.05,"","S"
"96",96,96,0,3,"Shorney, Mr. Charles Joseph","male",NA,0,0,"374910",8.05,"","S"
"102",102,102,0,3,"Petroff, Mr. Pastcho (""Pentcho"")","male",NA,0,0,"349215",7.8958,"","S"
"108",108,108,1,3,"Moss, Mr. Albert Johan","male",NA,0,0,"312991",7.775,"","S"
"110",110,110,1,3,"Moran, Miss. Bertha","female",NA,1,0,"371110",24.15,"","Q"
"122",122,122,0,3,"Moore, Mr. Leonard Charles","male",NA,0,0,"A4. 54510",8.05,"","S"
"127",127,127,0,3,"McMahon, Mr. Martin","male",NA,0,0,"370372",7.75,"","Q"
"129",129,129,1,3,"Peter, Miss. Anna","female",NA,1,1,"2668",22.3583,"F E69","C"
"141",141,141,0,3,"Boulos, Mrs. Joseph (Sultana)","female",NA,0,2,"2678",15.2458,"","C"
"155",155,155,0,3,"Olsen, Mr. Ole Martin","male",NA,0,0,"Fa 265302",7.3125,"","S"
"159",159,159,0,3,"Smiljanic, Mr. Mile","male",NA,0,0,"315037",8.6625,"","S"
